,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERI GERARDO,198,?,0,PAGLIA GASTON (52),141.01,12,3,PILAR (BA),0.00,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
PELLEGRINI CARLOS,199,?,0,PONZIO TOMAS (33),136.43,6,2,LAS ROSAS (SF),0.00,0.00,0.00,33,,,,,,,,,,,,,,,,,,,,0
DAUWALDER GABRIEL,200,?,0,GOICOECHEA MARCELO (63),133.69,16,5,CABA (BA),0.00,0.00,0.00,39,,,,,,,,,,,,,,,,,,,,0
MARTIN IRIGOYEN GERMAN,201,?,0,PAGLIERO MARTIN DANIEL (43),131.58,6,2,SUNCHALES (SF),0.00,0.00,0.00,23,,,,,,,,,,,,,,,,,,,,0
SALOMON MARIANO GERMAN,202,?,0,CABALLERO GASTON (47),130.34,9,3,CARDALES (BA),0.00,0.00,0.00,24,,,,,,,,,,,,,,,,,,,,0
TEDESCHI JUAN IGNACIO,203,?,0,DI CARLO AGUSTIN (39),128.33,10,4,MARCOS JUAREZ (CO),0.00,0.00,0.00,29,,,,,,,,,,,,,,,,,,,,0
GOROSITO RAUL ALBERTO,204,?,0,BLANCO JAIRO (42),125.22,12,4,SALDUNGARAY (BS),0.00,0.00,0.00,45,,,,,,,,,,,,,,,,,,,,0
CARABALLO EDGARDO,205,?,0,FERREYRA JORGE (60),118.17,13,4,CAPITAL FEDERAL (BA),0.00,0.00,0.00,34,,,,,,,,,,,,,,,,,,,,0
GARNERO FABIAN,206,?,0,CURCIO LUCAS (22),117.92,12,6,CABALLITO (BA),0.00,0.00,0.00,29,,,,,,,,,,,,,,,,,,,,0
LOBOS GABRIEL,207,?,0,LAPUNZINA SEBASTIAN (36),116.31,12,4,MAR DEL PLATA (BA),0.00,0.00,0.00,38,,,,,,,,,,,,,,,,,,,,0
PEREYRA EXEQUIEL,208,?,0,BUTTO JESUS (41),113.68,12,11,LOS CARDOS (SF),0.00,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
SANDOVAL CRISTIAN,209,?,0,CRUZ ANDRES (38),111.96,8,2,MAR DEL PLATA (BA),0.00,0.00,0.00,45,,,,,,,,,,,,,,,,,,,,0
COLOMBO FEDERICO,210,?,0,CURCIO WALTER (53),106.38,14,4,CABA (BA),0.00,0.00,0.00,42,,,,,,,,,,,,,,,,,,,,0
RIQUEL PEDRO,211,?,0,MAZUE DARIO (36),105.44,12,6,TRENQUE LAUQUEN (BA),0.00,0.00,0.00,61,,,,,,,,,,,,,,,,,,,,0
BARRIONUEVO MARTIN,212,?,0,CIANCIULLI JUAN (37),105.43,12,4,CABA (BA),0.00,0.00,0.00,47,,,,,,,,,,,,,,,,,,,,0
BOYER HUGO,213,?,0,SPAGNOLO LUCIANO (44),101.97,12,4,BAHIA BLANCA (BA),0.00,18.17,0.00,60,,,,,,,,,,,,,,,,,,,,0
VILLARREAL BRIAN NICOLAS,214,?,0,CAPARROS RUBEN EZEQUIEL (34),99.86,12,3,TANDIL (BA),0.00,0.00,0.00,32,,,,,,,,,,,,,,,,,,,,0
ANGULO MARIO,215,?,0,CAPARROS RUBEN EZEQUIEL (34),99.86,12,3,TANDIL (BA),0.00,0.00,0.00,47,,,,,,,,,,,,,,,,,,,,0
VAPORE NICOLAS,216,?,0,BILBAO HECTOR (42),97.17,9,2,ROSARIO (SF),0.00,0.00,0.00,18,,,,,,,,,,,,,,,,,,,,0
WILLINER CONRADO,217,?,0,BUSSO MIGUEL ANGEL (64),96.66,17,5,MARCOS JUAREZ (CB),0.00,0.00,0.00,48,,,,,,,,,,,,,,,,,,,,0
FIORITO BERNARDO,218,?,0,ALFONSO GUILLERMO (56),93.38,13,3,GENERAL LAMADRID (BA),0.00,0.00,0.00,32,,,,,,,,,,,,,,,,,,,,0
REÑONES MARIO,219,?,0,OLAECHEA AGUSTIN LEONARDO (35),92.00,1,1,TANDIL (BA),0.00,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
GARAVENTA NESTOR,220,?,0,RODRIGUEZ ZULE JESICA (37),87.90,23,6,TANDIL (BA),0.00,0.00,0.00,32,,,,,,,,,,,,,,,,,,,,0
DI LUCA CRISTIAN,221,?,0,JARA AXEL MARCELO (25),84.39,12,2,BAHIA BLANCA (BA),0.00,0.00,0.00,32,,,,,,,,,,,,,,,,,,,,0
FIGUEROA LUCAS,222,?,0,FIORITO BERNARDO (56),82.11,6,2,PERGAMINO (BA),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
OCAMPO MATIAS,223,?,0,SCHRODER ADOLFO GERMAN (49),81.05,12,3,BAHÑA BLANCA (BA),0.00,23.34,0.00,57,,,,,,,,,,,,,,,,,,,,0
LOPEZ DANIEL,224,?,0,TEDESCHI JUAN IGNACIO (41),81.04,9,2,BUENOS AIRES (BA),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
SOSA LUCAS,225,?,0,GONZALEZ JULIAN EZEQUIEL (26),79.05,12,2,MARIA JUANA (SF),0.00,0.00,0.00,30,,,,,,,,,,,,,,,,,,,,0
RUPPEN ESTEBAN,226,?,0,CALCIA RICARDO (40),76.62,12,3,SAN JORGE (SF),0.00,0.00,0.00,46,,,,,,,,,,,,,,,,,,,,0
COLACCI JULIO,227,?,0,POLLIO MAXIMILIANO (43),76.60,6,2,BALCARCE (BA),0.00,0.00,0.00,54,,,,,,,,,,,,,,,,,,,,0
POPOVICH DAMIAN,228,?,0,BOLTSHAUSER AGUSTIN (39),76.02,10,2,ROCA (RN),0.00,32.58,0.00,37,,,,,,,,,,,,,,,,,,,,0
GONZALEZ RICARDO,229,?,0,JEREZ MARCELO (60),75.85,9,2,MAR DEL PLATA (BA),0.00,0.00,0.00,39,,,,,,,,,,,,,,,,,,,,0
MARCOGIUSEPPE KEVIN,230,?,0,PEREYRA DANILO LEONARDO (41),75.79,6,1,CORDOBA (CO),0.00,0.00,0.00,27,,,,,,,,,,,,,,,,,,,,0
RODRIGUEZ NESTOR,231,?,0,ALMADA LUCILA (26),70.38,25,6,CABA (BA),0.00,0.00,0.00,54,,,,,,,,,,,,,,,,,,,,0
MONTANS JONATHAN,232,?,0,RAGGIO NORBERTO CARLOS  (59),67.89,12,2,MAR DEL PLATA (BA),0.00,0.00,0.00,33,,,,,,,,,,,,,,,,,,,,0
BOVER FACUNDO,233,?,0,SANTILLAN PABLO JOSE MARIANO (41),67.53,12,4,PUNTA ALTA (BA),0.00,0.00,0.00,35,,,,,,,,,,,,,,,,,,,,0
CORRO CESAR DANIEL,234,?,0,MENTASTI FERNANDO (43),65.91,5,1,SAN ISIDRO (BA),0.00,0.00,0.00,41,,,,,,,,,,,,,,,,,,,,0
ARNAIZ PABLO DANIEL,235,?,0,SANDLER LAURA (56),65.41,25,6,CABA (BA),0.00,0.00,0.00,38,,,,,,,,,,,,,,,,,,,,0
GAYONE GERARDO,236,?,0,COLACCI JULIO (50),65.40,12,2,MAR DEL PLATA (BA),0.00,0.00,0.00,55,,,,,,,,,,,,,,,,,,,,0
CABRERA ROBERT,237,?,0,ALFONSO MILAGROS (23),62.07,15,2,GRAL LAMADRID (BA),0.00,0.00,0.00,22,,,,,,,,,,,,,,,,,,,,0
MARTIN IRIGOYEN JAVIER,238,?,0,ARBOIT LETIZIA (45),61.13,21,4,ROSARIO (SF),0.00,0.00,0.00,42,,,,,,,,,,,,,,,,,,,,0
PECASTAING ALEJANDRA,239,?,0,MUÑOZ SEBASTIAN (44),60.64,6,1,ROCA (RN),0.00,0.00,0.00,33,,,,,,,,,,,,,,,,,,,,0
ANTIVERO MARTIN,240,?,0,LATTANZI JORGE (38),60.64,6,1,LAS ROSAS (SF),0.00,0.00,0.00,33,,,,,,,,,,,,,,,,,,,,0
FERREYRA PABLO,241,?,0,KIHN MARCELO (43),59.19,12,2,BAHIA BLANCA (BA),0.00,0.00,0.00,38,,,,,,,,,,,,,,,,,,,,0
CABRERA EZEQUIEL,242,?,0,GOROSITO DARIO (41),58.92,10,2,BALCARCE (BA),0.00,0.00,0.00,28,,,,,,,,,,,,,,,,,,,,0
CARINGELLA ALEJANDRO,243,?,0,FERNANDEZ RUBEN DANIEL (55),57.15,15,3,CORONEL PRINGLES (BA),0.00,0.00,0.00,33,,,,,,,,,,,,,,,,,,,,0
VILLARREAL LUCAS,244,?,0,SOSA CESAR ADOLFO (50),57.12,14,3,TANDIL (BA),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
GALEANO CARLOS,245,?,0,PEREYRA JUAN MANUEL (47),55.78,7,1,VICTORIA (ER),0.00,0.00,0.00,44,,,,,,,,,,,,,,,,,,,,0
CORRO JONATAN,246,?,0,RELLECATI CECILIA (42),53.72,20,3,VILLA BOSCH (BA),0.00,0.00,0.00,49,,,,,,,,,,,,,,,,,,,,0
MARIGUAL EDUARDO,247,?,0,FOGEL JOSE OSCAR (68),52.95,26,5,CORONEL SUAREZ (BA),0.00,0.00,0.00,32,,,,,,,,,,,,,,,,,,,,0
GOGNIAT ESTEBAN,248,?,0,LOBOS GABRIEL (34),52.77,12,3,GONZALEZ CHAVEZ (BA),0.00,0.00,0.00,55,,,,,,,,,,,,,,,,,,,,0
ARBILLA IVAN,249,?,0,STOFFEL EMIL DAVID (37),51.97,12,2,MAR DEL PLATA (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
JOANNAS MANUEL,250,?,0,SANCHEZ AGUSTIN (40),50.80,12,2,VICTORIA (ER),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
CORTES SANTIAGO,251,?,0,PONTINI GUILLERMO JOSE (47),49.95,11,1,LAS ROSAS (SF),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
CONFORTI CARLOS,252,?,0,POPOVICH DAMIAN (39),49.43,5,1,TANDIL (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
MINVIELLE CEPEDA JOSE MARIA,253,?,0,BARRIONUEVO MARTIN (36),45.81,12,2,TANDIL (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
CAYUÑIR ALEXIS,254,?,0,CASTELLO SERGIO (58),45.75,12,2,ROSARIO (SF),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
DIAZ DANIEL,255,?,0,MORENO MARIANO (39),45.63,12,2,BAHIA BLANCA (BA),0.00,23.34,0.00,,,,,,,,,,,,,,,,,,,,,0
BARROSO MARTIN,256,?,0,MORALES SOFIA (37),45.55,28,5,CABA (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
ARREGUITO OMAR,257,?,0,TRAMA ADRIAN (46),45.48,6,1,TANDIL (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
CACACE IGNACIO,258,?,0,BERNAOLA JOSE (42),45.21,12,2,TANDIL (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
SALVATIER EZEQUIEL,259,?,0,GOROSITO MARCOS ENRIQUE (28),44.90,12,2,SAN JORGE (SF),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
GORDILLO EMILIO,260,?,0,PAPALEO MARCELO (50),43.44,10,1,PARANA (ER),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
DE SANTE FACUNDO,261,?,0,BIGLIERI AGUSTIN JESUS (44),42.99,11,2,ROSARIO (SF),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
SOSA NORA DEL CARMEN,262,?,0,HERNANDORENA SEBASTIAN (41),38.59,12,2,TRENQUE LAUQUEN (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
LUCERO JULIANA BELEN,263,?,0,GARCIA FERNANDO (42),38.49,8,1,CORONEL SUAREZ (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
LUCERO CARLOS JAVIER,264,?,0,ETCHEPARE FEDERICO (42),38.49,8,1,TANDIL (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
RECOFSKY DIEGO,265,?,0,FERREYRA MATIAS RAMIRO (36),37.48,12,2,PUERTO SAN MARTIN (SF),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
SOTELO JORGE,266,?,0,FARIAS IGNACIO ANDRES (46),37.44,13,2,BAHIA BLANCA (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
CEPEDA NICOLAS,267,?,0,DIZEO LEANDRO (41),36.77,12,1,CABA (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
MEZA CESAR FABIAN,268,?,0,WEINBENDER JULIAN (33),28.63,12,1,CORONEL SUAREZ (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
AGUIRRE NAHUEL,269,?,0,OCAMPO MATIAS (39),28.63,12,1,CABA (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
SANCHEZ FABIAN,270,?,0,JULIA CARLOS ALBERTO (61),27.98,25,2,SANTA FE (SF),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
LAUER NORBERTO,271,?,0,ECHEGARAY NICOLAS (33),27.57,12,1,TANDIL (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
PASQUALINI GUIDO,272,?,0,MOYANO NICOLAS (39),24.23,12,1,GRAL ROCA (RN),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
GABRIEL PATRUNO,273,?,0,SEERY MATIAS IGNACIO (28),23.34,12,1,SAN PEDRO (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
MOYANO LUCIANO,274,?,0,SPADAVECCHIA GUSTAVO (55),22.29,15,1,BARILOCHE (RN),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
ARANZABE WALTER,275,?,0,PAILLALEF GUSTAVO (51),21.59,14,1,VILLA LA ANGOSTURA (NE),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
MENDEZ CARLOS,276,?,0,FERNANDEZ MARIO (55),17.80,15,1,LAPRIDA (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
HEIM GASTON,277,?,0,MAZOUE DARIO (36),17.40,12,2,TRENQUE LAUQUEN (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
WAIGEL JORGE,278,?,0,BARCELO JOAQUIN (28),16.72,12,1,LAS ROSAS (SF),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
BLANC VICTOR,279,?,0,ARNAIZ PABLO DANIEL (47),16.72,13,1,TANDIL (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
FERREYRA MATIAS,280,?,0,ORSINI ANDREA (53),13.09,30,2,CABA (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
LARA RODRIGO,281,?,0,BARRAGAN OSCAR (62),7.12,36,2,GONZALEZ CHAVEZ (BA),0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
